istasyon_adi,lat,lon,brand,has_lpg,has_charge
ABDULLAH KUZU,41.039708,30.2933,Alpet,True,False
ALİ AYAN PETROL ÜRÜNLERİ OTOMOTİV GIDA TARIM HAYVANCILIK SANAYİ VE TİCARET ANONİM ŞİRKETİ,38.248234,33.093994,Alpet,True,False
ACIGÖL ARI PETROL TESİSLERİ CANLI HAYVAN VE GIDA MADDELERİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,37.70575,33.66175,Alpet,True,False
MÜZEHER ŞEN,40.920358,30.479658,Alpet,True,False
RAN PET PETROL GIDA TAŞIMACILIK MADENCİLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.825775,34.615158,Alpet,False,False
BULDUKOĞULLARI PETROL ULAŞTIRMA OTOMOTİV TİCARET VE SANAYİ LİMİTED ŞİRKETİ,38.729427,32.712498,Alpet,True,False
RAN PET PETROL GIDA TAŞIMACILIK MADENCİLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.811771,34.642994,Alpet,False,False
ÖMER ÖZBAY,39.064,30.1046,Alpet,True,False
VASFİ AKKIR,41.6240877,27.5378054,Alpet,False,False
ALTINPINAR PETROL NAKLİYAT TİCARET LİMİTED ŞİRKETİ,38.4387,33.0632,Alpet,True,False
GAMSIZ PETROL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,41.244167,27.884722,Alpet,False,False
RENÇBER PETROL ÜRÜNLERİ BASIN YAYIN VE TURİZM HİZMETLERİ TİCARET LİMİTED ŞİRKETİ,41.729509,27.39111,Alpet,True,False
TOLU AKARYAKIT YAPI İNŞAAT NAKLİYAT PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.793743,30.318563,Alpet,False,False
SAÇAKLILAR PETROL ÜRÜNLERİ VE LPG GIDA OTOMOTİV NAKLİYE İNŞAAT TURİZM HAYVANCILIK SANAYİ VE TİCARE LİMİTED ŞİRKETİ,38.545238,30.558865,Alpet,True,False
RAN PET PETROL GIDA TAŞIMACILIK MADENCİLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.843487,34.716343,Alpet,False,False
POPULAR PETROL İNŞAAT OTOMOTİV VE GIDA TİCARET LİMİTED ŞİRKETİ,39.611016,29.463613,Alpet,True,False
OĞUZLAR AKARYAKIT TAŞIMACILIK TİCARET VE SANAYİ LİMİTED ŞİRKETİ,38.331882,33.234161,Alpet,False,False
ÇORLUPET - KÖY POMPASI,41.161333,27.878679,Alpet,False,False
MC AKARYAKIT ÜRÜNLERİ VE ENDÜSTRİYEL YAĞLAR SANAYİ TİCARET ANONİM ŞİRKETİ,41.441738,27.583335,Alpet,True,False
GÜVENAL NAKLİYAT PETROL ÜRÜNLERİ TÜP İMALATI SANAYİ VE TİCARET ANONİM ŞİRKETİ,39.524506,29.461478,Alpet,True,False
ALİ ERMİŞ PETROL TARIM HAYVANCILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.394163,33.32473,Alpet,False,False
ERENPET PETROL ÜRÜNLERİ PAZARLAMA VE DAĞITIM TİCARET LİMİTED ŞİRKETİ,37.1465,34.5802,Alpet,True,False
ÇORLUPET GIDA AKARYAKIT ÜRÜNLERİ İNŞAAT NAKLİYE SANAYİ VE TİCARET LİMİTED ŞİRKETİ,41.093296,27.81867,Alpet,False,False
ORHAN KALKAN TARIM VE PETROL ÜRÜNLERİ TİCARET SANAYİ LİMİTED ŞİRKETİ,37.893329,33.837856,Alpet,True,False
BAYRAKÇI PETROL ÜRÜNLERİ VE HER TÜRLÜ EMTİA ALIM SATIMI TİCARET LİMİTED ŞİRKETİ,37.893427,33.837842,Alpet,False,False
AKSU BELEDİYESİ AKARYAKIT İSTASYONU,37.798889,31.040348,Alpet,True,False
ENONPET PETROL VE ENERJİ ÜRÜNLERİ PAZARLAMA SANAYİ DIŞ TİCARET LİMİTED ŞİRKETİ,41.642976,27.178981,Alpet,True,False
HÜSEYİN KAYA,37.7832,31.0383,Alpet,True,False
33 AKARYAKIT TAŞIMACILIK GIDA İNŞAAT PLASTİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.92932524412344,34.92442521544684,Alpet,True,False
KATİPOĞLU OTOMOTİV YEDEK PARÇA BAKIM ONARIM YAKIT DÖNÜŞÜM SİSTEMLERİ GIDA İHTİYAÇ MADDELERİ TEKEL MADDELERİ DAYANIKLI TÜKETİM MALLARI PETROL EMLAK İNŞAAT NAKLİYAT İTHALAT İHRACAT İMALAT KOMİSYON TAAHHÜT TİCARET VE SANAYİ LİMİTED ŞİRKETİ,38.447029,30.26112,Alpet,True,False
AYTEKİNLER PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,39.8521,32.0847,Alpet,False,False
KARCAN AKARYAKIT DAĞITIM LİMİTED ŞİRKETİ,40.848907,31.091825,Alpet,False,False
CY YILDIZ TARIM HAYVANCILIK GIDA TAŞIMACILIK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.732269,35.209682,Alpet,True,False
OKTAY PETROL ÜRÜNLERİ NAKLİYAT LPG TEMİZLİK MEŞRUBAT SU GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,35.9,36.071,Alpet,True,False
ÖZABAY DIŞ TİCARET LİMİTED ŞİRKETİ TARSUS ŞUBESİ,36.96706,35.0288,Alpet,False,False
KARCAN AKARYAKIT DAĞITIM LİMİTED ŞİRKETİ,40.8485,31.1531,Alpet,True,False
AZİMLİ TİCARET PETROL ÜRÜNLERİ GIDA VE SANAYİ LİMİTED ŞİRKETİ,37.6357,34.3685,Alpet,True,False
MİRHA AKARYAKIT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.609524,34.396992,Alpet,True,False
ODİ ENERJİ AKARYAKIT NAKLİYE OTOMOTİV İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ,39.7186,32.3199,Alpet,False,False
HSİVRİ PETROL ÜRÜNLERİ NAKLİYE GIDA TİCARET VE SANAYİ LİMİTED ŞİRKETİ,37.882042,30.71414,Alpet,True,False
SERKAN GÜNYOL PETROLLERİ ANONİM ŞİRKETİ,39.722053,32.341724,Alpet,True,False
Serkan Günyol Petrol Tanker-06FNC820,39.722053,32.341724,Alpet,False,False
