istasyon_adi,lat,lon,brand
MÜZEHER ŞEN,40.920358,30.479658,Alpet
RAN PET PETROL GIDA TAŞIMACILIK MADENCİLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.825775,34.615158,Alpet
BULDUKOĞULLARI PETROL ULAŞTIRMA OTOMOTİV TİCARET VE SANAYİ LİMİTED ŞİRKETİ,38.729427,32.712498,Alpet
RAN PET PETROL GIDA TAŞIMACILIK MADENCİLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.811771,34.642994,Alpet
ÖMER ÖZBAY,39.064,30.1046,Alpet
VASFİ AKKIR,41.6240877,27.5378054,Alpet
ALTINPINAR PETROL NAKLİYAT TİCARET LİMİTED ŞİRKETİ,38.4387,33.0632,Alpet
GAMSIZ PETROL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,41.244167,27.884722,Alpet
RENÇBER PETROL ÜRÜNLERİ BASIN YAYIN VE TURİZM HİZMETLERİ TİCARET LİMİTED ŞİRKETİ,41.729509,27.39111,Alpet
TOLU AKARYAKIT YAPI İNŞAAT NAKLİYAT PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.793743,30.318563,Alpet
SAÇAKLILAR PETROL ÜRÜNLERİ VE LPG GIDA OTOMOTİV NAKLİYE İNŞAAT TURİZM HAYVANCILIK SANAYİ VE TİCARE LİMİTED ŞİRKETİ,38.545238,30.558865,Alpet
RAN PET PETROL GIDA TAŞIMACILIK MADENCİLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.843487,34.716343,Alpet
POPULAR PETROL İNŞAAT OTOMOTİV VE GIDA TİCARET LİMİTED ŞİRKETİ,39.611016,29.463613,Alpet
OĞUZLAR AKARYAKIT TAŞIMACILIK TİCARET VE SANAYİ LİMİTED ŞİRKETİ,38.331882,33.234161,Alpet
ÇORLUPET - KÖY POMPASI,41.161333,27.878679,Alpet
MC AKARYAKIT ÜRÜNLERİ VE ENDÜSTRİYEL YAĞLAR SANAYİ TİCARET ANONİM ŞİRKETİ,41.441738,27.583335,Alpet
GÜVENAL NAKLİYAT PETROL ÜRÜNLERİ TÜP İMALATI SANAYİ VE TİCARET ANONİM ŞİRKETİ,39.524506,29.461478,Alpet
ALİ ERMİŞ PETROL TARIM HAYVANCILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.394163,33.32473,Alpet
ERENPET PETROL ÜRÜNLERİ PAZARLAMA VE DAĞITIM TİCARET LİMİTED ŞİRKETİ,37.1465,34.5802,Alpet
ÇORLUPET GIDA AKARYAKIT ÜRÜNLERİ İNŞAAT NAKLİYE SANAYİ VE TİCARET LİMİTED ŞİRKETİ,41.093296,27.81867,Alpet
ORHAN KALKAN TARIM VE PETROL ÜRÜNLERİ TİCARET SANAYİ LİMİTED ŞİRKETİ,37.893329,33.837856,Alpet
BAYRAKÇI PETROL ÜRÜNLERİ VE HER TÜRLÜ EMTİA ALIM SATIMI TİCARET LİMİTED ŞİRKETİ,37.893427,33.837842,Alpet
AKSU BELEDİYESİ AKARYAKIT İSTASYONU,37.798889,31.040348,Alpet
ENONPET PETROL VE ENERJİ ÜRÜNLERİ PAZARLAMA SANAYİ DIŞ TİCARET LİMİTED ŞİRKETİ,41.642976,27.178981,Alpet
HÜSEYİN KAYA,37.7832,31.0383,Alpet
33 AKARYAKIT TAŞIMACILIK GIDA İNŞAAT PLASTİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.92932524412344,34.92442521544684,Alpet
KATİPOĞLU OTOMOTİV YEDEK PARÇA BAKIM ONARIM YAKIT DÖNÜŞÜM SİSTEMLERİ GIDA İHTİYAÇ MADDELERİ TEKEL MADDELERİ DAYANIKLI TÜKETİM MALLARI PETROL EMLAK İNŞAAT NAKLİYAT İTHALAT İHRACAT İMALAT KOMİSYON TAAHHÜT TİCARET VE SANAYİ LİMİTED ŞİRKETİ,38.447029,30.26112,Alpet
AYTEKİNLER PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,39.8521,32.0847,Alpet
KARCAN AKARYAKIT DAĞITIM LİMİTED ŞİRKETİ,40.848907,31.091825,Alpet
CY YILDIZ TARIM HAYVANCILIK GIDA TAŞIMACILIK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.732269,35.209682,Alpet
ÖZABAY DIŞ TİCARET LİMİTED ŞİRKETİ TARSUS ŞUBESİ,36.967060000000004,35.0288,Alpet
KARCAN AKARYAKIT DAĞITIM LİMİTED ŞİRKETİ,40.8485,31.1531,Alpet
AZİMLİ TİCARET PETROL ÜRÜNLERİ GIDA VE SANAYİ LİMİTED ŞİRKETİ,37.6357,34.3685,Alpet
MİRHA AKARYAKIT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.609524,34.396992,Alpet
ODİ ENERJİ AKARYAKIT NAKLİYE OTOMOTİV İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ,39.7186,32.3199,Alpet
HSİVRİ PETROL ÜRÜNLERİ NAKLİYE GIDA TİCARET VE SANAYİ LİMİTED ŞİRKETİ,37.882042,30.71414,Alpet
SERKAN GÜNYOL PETROLLERİ ANONİM ŞİRKETİ,39.722053,32.341724,Alpet
Serkan Günyol Petrol Tanker-06FNC820,39.722053,32.341724,Alpet
KARCAN AKARYAKIT DAĞITIM LİMİTED ŞİRKETİ,40.7792,31.2849,Alpet
MUSA GÖNCÜ,39.046604,33.082047,Alpet
NM HAYVANCILIK TARIM GIDA TURİZM AKARYAKIT İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.181696,34.9582,Alpet
ÖZHANEDAR TARIM ÜRÜNLERİ GÜBRE ZİRAİ ALET GIDA MADDELERİ PETROL ÜRÜNLERİ DAYANIKLI TÜKETİM MADDELERİ AYAKKABICILIK OTOMOTİV İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ,39.53824,32.61101,Alpet
ÇETİNKAYA AKARYAKIT SANAYİ TİC.A.Ş.,36.9911,35.172,Alpet
ÖRSAN AKARYAKIT NAKLİYAT İNŞAAT VE TİCARET LİMİTED ŞİRKETİ,41.3508113,27.0960413,Alpet
MİRHA AKARYAKIT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.2134,34.0194,Alpet
ÇİLEK AKARYAKIT SANAYİ VE TİCARET ANONİM ŞİRKETİ,41.085087,31.17568,Alpet
DAĞLIOĞLU 51 AKARYAKIT LOJİSTİK OTOMOTİV TARIM İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.8487,34.4126,Alpet
MURAT GÜLTEN AKARYAKIT OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.95477,35.313641,Alpet
MİS PETROL SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.970318,35.316356999999996,Alpet
